date,min_mm,max_mm,mean_mm
2014-05-01,0.0,234.29759,9.032305
2014-05-02,0.0,294.3729,6.4081817
2014-05-03,0.0,169.81354,3.7870798
2014-05-04,0.0,139.85214,1.7750831
2014-05-05,0.0,111.81375,1.0502688
2014-05-06,0.0,81.822044,0.8971876
2014-05-07,0.0,302.91568,3.8464096
2014-05-08,0.0,211.39674,6.879216
2014-05-09,0.0,123.7094,5.149272
2014-05-10,0.0,140.00687,6.2220836
2014-05-11,0.0,260.07953,3.5865214
2014-05-12,0.0,90.862144,2.2899635
2014-05-13,0.0,197.57239,9.380011
2014-05-14,0.0,403.27524,9.3709
2014-05-15,0.0,223.03456,2.9559202
2014-05-16,0.0,155.846,1.5923284
2014-05-17,0.0,98.43717,0.77484876
2014-05-18,0.0,111.29864,0.7703259
2014-05-19,0.0,75.61937,1.2960954
2014-05-20,0.0,64.99,1.7037332
2014-05-21,0.0,92.16595,2.502688
2014-05-22,0.0,85.878334,2.3397648
2014-05-23,0.0,130.32571,3.739256
2014-05-24,0.0,98.329285,3.137066
2014-05-25,0.0,213.1328,5.4988236
2014-05-26,0.0,194.91875,6.8331614
2014-05-27,0.0,393.5155,8.704042
2014-05-28,0.0,430.339,13.462787
2014-05-29,0.0,312.6775,9.5894785
2014-05-30,0.0,485.625,10.525296
2014-05-31,0.0,536.7952,11.877186
